ID,Имя,Фамилия,Должность,Отдел,Зарплата
1001,Иван,Петров,программист,IT,80000
1002,Анна,Смирнова,программист,IT,85000
1003,Павел,Сидоров,программист,IT,75000
1004,Мария,Иванова,программист,IT,90000
1005,Николай,Романов,руководитель,администрация,120000
1006,Елена,Кузнецова,секретарь,HR,50000
1007,Александр,Михайлов,специалист,маркетинг,70000
1008,Виктор,Серебряков,архитектор,строительство,100000
1009,Татьяна,Соколова,программист,IT,85000
1010,Игорь,Тимофеев,руководитель,администрация,110000
1011,Ольга,Королева,секретарь,HR,55000
1012,Кирилл,Новиков,специалист,маркетинг,75000
1013,Андрей,Соколов,архитектор,строительство,95000
1014,Людмила,Белова,программист,IT,80000
1015,Сергей,Марков,руководитель,администрация,125000
1016,Наталья,Березина,секретарь,HR,52000
1017,Евгений,Иванов,специалист,маркетинг,72000
1018,Дмитрий,Лебедев,архитектор,строительство,105000
1019,Марина,Семенова,программист,IT,82000
1020,Михаил,Филиппов,руководитель,администрация,115000
